2025-09-04,9:28:08,K92 Mine- Goroka Pipe
2025-09-04,9:39:08,Nambis INN - Madang Pipe
2025-09-04,9:36:38,Australia Policing Partnership (APP) Apartments - Hagen DI Pipe
2025-09-04,9:31:08,ITJTC - 6 Mile Pipe
2025-09-04,9:41:08,Nambis INN - Madang Pipe
2025-09-04,9:46:38,ITJTC - 6 Mile Pipe
2025-09-04,9:48:38,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,9:46:08,Food Agriculture Organization Pipe
2025-09-04,9:45:38,SOS Securities-POM Pipe
2025-09-04,9:48:38,NBPOL - Waraston Oil Mill Pipe
2025-09-04,9:43:38,ITJTC - 6 Mile Pipe
2025-09-04,9:54:38,Ela Beach Hotel Pipe
2025-09-04,9:41:38,ITJTC - 6 Mile Pipe
2025-09-04,9:56:08,SOS Securities-POM Pipe
2025-09-04,9:48:08,ITJTC - 6 Mile Pipe
2025-09-04,9:48:08,SOS Securities-POM Pipe
2025-09-04,9:51:08,ITJTC - 6 Mile Pipe
2025-09-04,9:58:08,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,9:54:38,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,9:51:38,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,9:55:09,NBPOL - Waraston Oil Mill Pipe
2025-09-04,9:42:38,(Digitec ICT (Niugini Spirit Limited) Hagen Pipe
2025-09-04,9:55:08,CASA - HAGEN Pipe
2025-09-04,9:50:38,SOS Securities-POM Pipe
2025-09-04,9:56:08,Ela Beach Hotel Pipe
2025-09-04,9:59:08,ITJTC - 6 Mile Pipe
2025-09-04,9:58:38,SOS Securities-POM Pipe
2025-09-04,11:42:08,Fiji High Commission Pipe
2025-09-04,11:25:08,Ela Beach Hotel Pipe
2025-09-04,11:43:08,Ela Beach Hotel Pipe
2025-09-04,11:48:38,Fiji High Commission Pipe
2025-09-04,11:35:08,Paradise Hospital Pipe
2025-09-04,11:32:08,Paradise Hospital Pipe
